timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
6450,0.12,0.24,-0.01,-833.1,122.5,-22.3
6451,0.40,-0.11,-1.51,-935.5,60.7,-51.0
6480,0.67,-0.03,-0.09,-961.1,-2.1,-35.6
6510,0.86,2.55,2.98,-707.2,33.4,-41.7
6510,0.09,0.64,-0.06,-130.1,92.5,-76.5
6571,0.31,-0.37,-1.97,3.9,25.8,-22.0
6571,0.70,1.47,-0.43,9.8,-3.4,-6.4
6600,0.52,3.10,1.17,-157.7,5.3,-67.3
6600,0.54,2.66,0.43,-183.5,27.2,-125.9
6631,0.87,1.31,-1.00,-18.7,-3.6,-134.8
6631,1.02,0.40,-0.32,51.1,-27.6,-119.9
6660,0.84,2.24,1.07,7.7,-42.9,-97.8
6721,0.57,2.63,0.99,-57.9,-14.7,-138.9
6723,0.43,0.89,-0.20,-46.0,5.8,-179.5
6723,0.46,0.30,-0.55,-19.6,-10.6,-166.1
6750,0.57,1.16,0.50,-24.2,-30.3,-142.9
6752,0.52,1.64,0.90,-38.8,-17.2,-156.4
6781,0.40,0.72,0.24,-59.0,2.3,-186.5
6810,0.35,-0.18,0.24,-77.1,-7.1,-180.4
6811,0.27,0.06,0.19,-62.6,-8.5,-169.1
6840,0.20,0.39,0.15,-3.2,-10.8,-158.0
6871,0.02,0.55,0.42,15.0,-10.7,-165.4
6871,0.02,0.28,0.66,-31.0,-3.2,-174.7
6900,0.04,0.13,0.59,-62.5,8.5,-177.1
6930,0.05,-0.11,0.03,-53.1,9.0,-171.0
6961,0.01,-0.02,0.04,-32.2,-0.1,-164.0
6961,-0.05,0.21,0.47,-3.5,-1.3,-167.2
6991,0.01,0.03,0.46,30.4,7.1,-171.4
6991,0.06,-0.27,0.24,36.2,12.4,-166.6
7048,-0.13,0.08,0.25,26.7,11.3,-163.8
7050,-0.20,-0.13,0.45,45.2,14.2,-171.4
7051,-0.16,-0.49,0.44,69.9,25.6,-173.0
7080,-0.09,-1.02,0.11,50.4,34.6,-158.9
7110,-0.12,-0.90,-0.32,-3.1,30.2,-145.4
7110,-0.14,-0.67,-0.32,-56.4,15.0,-142.8
7140,-0.10,-0.83,0.16,-83.3,9.6,-141.4
7170,-0.01,-1.00,0.25,-63.4,13.1,-134.4
7199,-0.02,-1.13,-0.04,0.2,9.3,-123.8
7200,-0.01,-1.23,-0.08,60.1,0.8,-110.8
7231,-0.00,-1.28,0.02,80.7,-2.4,-101.0
7231,0.05,-1.44,0.21,58.0,-0.4,-91.4
7260,0.04,-1.53,0.33,25.0,3.2,-80.1
7291,-0.00,-1.43,0.42,13.4,9.6,-66.8
7291,0.06,-1.32,0.30,18.1,15.9,-59.5
7320,0.05,-1.46,0.10,2.3,18.1,-50.8
7362,0.13,-1.20,-0.07,-35.6,17.6,-40.7
7379,0.18,-1.08,-0.02,-41.1,13.3,-40.2
7380,0.16,-1.42,0.01,-24.9,13.5,-35.8
7410,0.25,-1.51,-0.11,-29.9,12.0,-25.8
7441,0.38,-1.25,-0.14,-12.8,6.0,-23.9
7441,0.40,-1.49,-0.07,5.1,4.6,-25.0
7499,0.41,-1.95,-0.16,18.9,3.2,-12.0
7500,0.49,-1.72,-0.23,4.5,0.7,-4.0
7531,0.50,-1.32,-0.25,-6.0,-7.6,-0.4
7531,0.42,-1.61,-0.19,20.7,-13.6,2.3
7560,0.39,-1.92,0.01,-9.8,-13.5,16.5
7591,0.43,-1.23,-0.11,-13.5,-13.0,22.6
7591,0.35,-1.35,-0.25,58.4,-22.5,22.5
7620,0.27,-1.38,-0.08,58.6,-28.7,30.1
7650,0.17,-0.85,0.27,19.4,-26.4,30.1
7679,0.16,-0.81,0.11,72.1,-18.0,22.5
7680,0.08,-1.12,-0.11,117.4,-21.8,28.2
7710,0.05,-0.97,-0.07,63.8,-21.3,26.7
7741,0.09,-1.06,-0.23,7.9,-21.7,17.3
7741,-0.18,-1.62,-0.43,74.5,-26.9,27.0
7770,-0.50,-1.55,-0.69,165.2,-35.1,54.9
7771,-0.56,-0.48,-0.90,180.1,-42.2,57.8
7800,-0.61,-0.38,-0.67,124.2,-60.5,33.4
7831,-0.95,-0.90,-1.12,115.6,-69.6,12.4
7859,-1.44,-0.96,-2.08,273.6,-99.5,18.6
7860,-1.97,-0.75,-1.45,588.6,-183.4,-10.7
7890,-2.17,-1.55,-0.85,869.4,-175.8,-54.7
7890,-1.96,-1.84,-3.76,1125.5,-170.7,-65.1
7920,-2.30,-0.57,-4.00,1465.8,-223.6,-168.9
7951,-4.00,-1.03,-2.98,1263.9,-194.3,-230.8
7951,-4.00,1.73,-3.45,469.5,-78.6,-287.8
7980,-3.96,3.90,-4.00,546.1,-116.1,-345.7
8010,-4.00,2.55,-3.11,933.2,-134.6,-545.3
8041,-4.00,2.12,-1.15,505.9,-2.7,-616.6
8042,-4.00,4.00,-1.11,-219.0,3.9,-686.7
8070,-4.00,-0.05,2.03,119.7,8.5,-1109.3
8071,-4.00,-3.69,0.79,95.3,90.1,-1029.1
8100,-4.00,-4.00,-4.00,-162.3,4.6,-571.9
8130,-4.00,-3.88,-2.65,-231.9,-243.3,-225.7
8130,-3.22,-3.98,4.00,-125.5,-177.3,-51.2
8160,-0.96,-4.00,4.00,-35.8,77.6,-8.5
8190,0.92,-4.00,-1.50,42.4,103.6,44.9
8221,1.86,-3.94,-3.97,43.6,-54.4,112.2
8221,1.52,-2.10,0.46,-44.2,-75.0,135.0
8250,1.04,1.39,2.85,-57.8,-12.6,90.6
8251,0.93,0.88,2.92,56.2,51.1,37.4
8311,1.48,0.43,-0.96,26.8,116.2,47.3
8311,1.43,1.42,-2.55,-53.0,86.4,16.5
8312,1.00,0.33,-2.98,-16.1,1.6,-33.8
8341,0.59,-1.61,-0.35,-4.2,-27.2,-21.7
8341,0.19,-1.99,1.77,5.7,-10.4,-6.8
8370,0.03,-1.95,1.50,9.3,50.3,14.8
8405,0.27,-1.78,-1.86,0.8,59.9,29.4
8431,0.38,-1.48,-2.16,10.3,13.3,51.8
8431,0.34,-0.03,-0.44,32.5,-21.0,56.0
8461,0.27,0.13,0.40,35.7,-17.3,38.3
8461,0.31,0.08,0.44,9.1,5.7,22.3
8490,0.54,0.06,-0.25,7.1,23.4,10.7
8521,0.73,-0.22,-1.59,8.3,9.0,2.8
8521,0.61,-0.54,-1.84,6.3,-35.0,0.7
8550,0.11,-0.49,-0.34,-7.8,-51.4,-2.0
8581,0.06,-0.33,0.62,-14.3,-41.1,-9.4
8610,0.38,-1.14,-0.02,-6.1,-9.7,-32.5
8610,0.19,-2.01,-0.28,2.8,-14.2,-15.2
8640,0.03,-1.70,0.10,3.1,-5.6,8.7
8671,0.17,-0.80,-0.08,4.6,5.9,6.5
8671,0.13,-0.85,-0.21,4.2,13.1,-5.1
8700,0.14,-1.15,-0.54,4.2,16.2,-5.3
8700,0.24,-1.42,-0.74,18.9,6.8,1.5
8730,0.24,-1.47,-0.44,13.3,3.7,14.3
8760,0.25,-1.07,-0.35,4.6,7.5,23.1
8760,0.24,-0.61,-0.52,5.6,9.1,23.4
8790,0.27,-0.41,-0.83,15.2,9.1,18.6
8821,0.26,-0.47,-0.91,14.0,0.6,10.1
8821,0.23,-0.60,-0.73,-4.9,-13.1,1.2
8850,0.24,-0.77,-0.44,-13.1,-16.3,-0.7
8880,0.10,-0.73,-0.21,-6.5,-13.4,-1.2
8924,0.06,-0.85,-0.22,1.8,-8.9,-3.9
8924,0.09,-0.99,-0.36,-18.3,-7.6,-1.8
8941,0.05,-0.96,-0.44,-42.7,-10.9,-0.5
8941,0.03,-0.98,-0.24,-67.3,-11.9,0.9
8970,0.08,-0.65,-0.12,-171.9,-3.2,-6.7
9000,0.10,-0.86,-0.41,-182.6,-2.2,-14.8
9031,-0.06,-1.62,-0.27,-183.4,-13.5,-20.7
9031,-0.09,-2.05,0.22,-197.8,-12.7,-8.9
9060,-0.23,-2.22,0.42,-220.8,-5.7,7.7
9090,-0.38,-1.79,0.51,-287.9,-2.7,9.2
9091,-0.40,-3.03,1.46,-355.0,-4.8,2.4
9120,-0.37,-3.42,2.51,-411.4,19.7,37.4
9151,-0.32,-2.02,1.59,-468.1,80.0,83.6
9178,0.08,-0.80,-0.05,-646.2,111.6,68.1
9183,0.58,0.26,-0.37,-704.7,105.2,47.7
9210,0.73,-0.19,0.04,-754.3,76.7,-21.4
9241,0.42,-0.10,1.34,-666.2,76.0,-29.0
9241,0.43,-0.01,1.30,-556.0,94.5,-41.0
9270,1.01,0.01,0.31,-417.4,85.3,-34.7
